amenity,count,replace_value
Cats Allowed,4186,
Elevator,4064,
No Fee,4059,
Dogs Allowed,3884,
Laundry In Building,3764,
Doorman,3248,
Dishwasher,2576,
Hardwood Floors,2538,
Fitness Center,2519,
Renovated,2234,
Light,2177,
Common Outdoor Space,2159,
High Ceilings,1950,
Laundry in Unit,1865,Laundry In Unit
Granite Kitchen,1782,
Laundry In Unit,1769,
Marble Bath,1758,
Subway,1482,
Exclusive,1352,
Featured,1230,
Garage,1196,
Floorplans Available,1169,
Valet,1037,
Pre-War,1032,
Eat In Kitchen,1023,
Walk In Closet,1001,
Deck,934,
Lounge,914,
Pre-war,909,
Concierge,900,
Storage Facility,812,
High Speed Internet,777,
Stainless Steel Appliances,739,
Outdoor Space,732,
Bicycle Room,713,
Dining Room,681,
Storage,592,
Diplomats Ok,550,
Receiving Room,549,
Microwave,527,
Private Outdoor Space,492,
New Construction,491,
City View,467,
Balcony,404,
Business Center,397,
Swimming Pool,385,
Open View,373,
Wheelchair Access,368,
Reduced Fee,366,
Live In Super,360,
Convertible,359,
Terrace,339,
Parking Space,308,
One Month Free,292,
Nursery,237,
Open Kitchen,224,
Garden/patio,201,
Brownstone,199,
Loft,181,
Private Deck,172,
By Owner,167,
Roof Deck,158,
Gym,157,
River View,135,
Children Playroom,132,
Virtual Doorman,130,
Furnished,123,
Laundry Room,112,Laundry In Building
Bike Storage,107,
Original Details,106,
Fireplace,102,
Package Acceptance,101,
Courtyard,92,
Pool,87,
Parking,87,
Duplex,86,
Laundry in Building,84,Laundry In Building
Live Work,73,
Exposed Brick,66,
Park View,63,
Pets,57,
Green Building,53,
Laundry Services,53,
Prewar,53,
Storage Room,52,
Bike Room,51,
Luxury Highrise,50,
Community Wifi,49,
Multi-level,48,
On-site super,46,
Outdoor Areas,46,
On-site Laundry,45,Laundry In Building
Central A/C,41,
Short Term Allowed,38,
Backyard,37,
Hardwood,37,
Verizon Fios Enabled,36,
dishwasher,36,
Central Air,35,
Guarantor Accepted,34,
In-Unit Laundry,34,Laundry In Unit
Playroom/Nursery,34,
Sublet,32,
Freight Elevator,32,Elevator
Children's Playroom,32,
Pets - Cats Ok,31,
Pets - Dogs Ok,31,
Heat/hot Water Included,30,
PublicOutdoor,30,
Heat And Hot Water Included,29,
Dry Cleaning,29,
Skyline View,29,
Childrens Playroom,28,
Rooftop Deck,26,
 Doorman,25,
View,23,
Washerdryer,22,
On-site Super,22,
24 Hour Concierge,21,
Laundry,21,Laundry In Building
Walk in Closet(s),20,
Maid Service,19,
building-common-outdoor-space,19,
Video Intercom,19,
Driveway,18,
Recreational Room,18,
Newly Renovated,18,
Wheelchair Ramp,18,
Patio,17,
Sauna,17,
Vacation Rental,17,
Washer Dryer,17,
Pied A Terre,16,
Live-in Super,16,
 Cats Allowed,16,
Washer & Dryer,16,
Public Outdoor Space,16,
fireplace,16,
Common Roof Deck,15,
Package Room,15,
garden,15,
 Dogs Allowed,14,
Basketball Court,14,
Garden/Patio,14,
Flex Bedroom,14,
City Views,14,
 Granite Kitchen,13,
Garden,13,
Live in Super,13,
 Elevator,13,Elevator
In-unit Laundry,13,Laundry In Unit
No Pets,13,""""""
Stone countertops,13,
Pre-war Building,12,
Billiards,12,
Common Areas,12,
NO FEE,12,
SS Appliances,12,
Fios,12,
hardwood floors,12,
elevator,12,Elevator
Smoke Free,11,
Pied A Terre Allowed,11,
WiFi,11,
laundry room,11,Laundry In Building
 Dishwasher,11,
Sprinkler System,11,
Natural Light in Living Area,11,
 Fitness Center,10,
Wifi,10,
RENOVATED,10,
balcony,10,
Hardwood floors,10,
 Laundry In Building,10,Laundry In Building
patio,10,
 No Fee,10,
Media Room,10,
Playroom/nursery,10,
Stainless Steel Apps,10,
Ptac Coolingheating Units,10,
high ceilings,10,
New Development,10,
Guarantors Accepted,9,
Fitness Facility,9,
Wine Cooler,9,
exposed brick,9,
Open Views,9,
Extra Room,9,
Game Room,9,
Valet Service,9,
PETS - CATS OK,9,
PETS - DOGS OK,9,
Basic Cable + WiFi Included,9,
On Site Laundry,9,Laundry In Building
Parking Available,9,
Ac Units,9,
Billiards Room,8,
Cold Storage,8,
Resident Lounge,8,
Club Room,8,
Health Club,8,
private-outdoor-space,8,
Rooftop Pool,8,
Hardwood Floor,8,
Western Exposure,8,
Pets Allowed,8,
 Light,8,
Large Closets,8,
Shares OK,8,
"Dogs Allowed
 
Cats Allowed",8,
Dw,8,
Wd,8,
Living Room,8,
Community Recreation Facilities,8,
"Cats Allowed
 
Dogs Allowed",7,
Parking Garage,7,
Fitness Room,7,
Floor To Ceiling Windows,7,
"Dishwasher
 
Hardwood Floors",7,
Rooftop,7,
Private Terrace,7,
Club House,7,
Housekeeping and Dry Cleaning Services,7,
Sunny,7,
SUBWAY,7,
STAINLESS STEEL APPLIANCES,7,
Kitchen,7,
Laundry On Floor,7,Laundry In Building
Washer,7,
Housekeeping,7,
central a/c,7,
Central Ac,7,
bike room,7,
Sundeck,6,
Dining Area,6,
Resident Manager,6,
Leasing Office,6,
Personal Assistant Services,6,
Resident Service Specialist,6,
Entertainment Lounge,6,
Roofdeck,6,
pool,6,
Additional Storage,6,
Views,6,
Yoga Room,6,
Pet friendly,6,
LIVE IN SUPER,6,
HARDWOOD,6,
ON-SITE LAUNDRY,6,Laundry In Building
NO PETS,6,
laundry,6,Laundry In Building
Stainless Steel,6,
live-in super,6,
Hrdwd Flrs,6,
Intercom System,6,
Walk-in Closet,6,
X-brick,6,
Laundry in building,6,Laundry In Building
video intercom,6,
stainless steel appliances,6,
roof deck,6,
Triplex,6,
Live/Work,6,
Children Play Room,6,
Washer/dryer In Unit,6,
walk-in closet,6,
Washer/dryer In Bldg,6,
Live-In Super,5,
Lounge Room,5,
Private-balcony,5,
 Laundry In Unit,5,Laundry In Building
Facility Kitchen,5,
Private Storage,5,
SPACIOUS,5,
Conference Room,5,
Health And Fitness Center,5,
Bicycle Storage Room,5,
Cinema Room,5,
Lobby Lounge,5,
Building: Elevator,5,Elevator
"Granite Kitchen
 
High Ceilings",5,
Eastern Exposure,5,
Northern Exposure,5,
 Storage Facility,5,
Play Ground,5,
Pre War,5,
Highspeed Internet,5,
Parking Spot,5,
ATM in the building,5,
 Eat In Kitchen,5,
Tenant Lounge,5,
LOCATION,5,
 Marble Bath,5,
 Hardwood Floors,5,
DIPLOMATS OK,5,
"Laundry In Building
 
Common Outdoor Space",5,"Laundry In Building, Common Outdoor Space"
Spa,5,
Central Air Conditioning,5,
"Subway
 
Valet",5,
Granite,5,
garage,5,
Brand New,5,
Prospect Park,5,
Windows,5,
Central A/c And Heat,5,
3br ‰ÛÒ Gran Kitch,5,
Micro,5,
duplex,5,
Roof access,5,
virtual doorman,5,
High-rise,5,
Full Service,5,
outdoor space,5,
Heated Bathroom,5,
Spacious,4,
Sun-Drenched,4,
Common Terrace,4,
Complimentary Breakfast,4,
Bicycle Storage,4,
"Walk In Closet
 
Dogs Allowed",4,
Hotel Style Service,4,
Hot Tub,4,
 Garage,4,
