0,1
Cats Allowed,4204
Elevator,4064
No Fee,4059
Dogs Allowed,3899
Laundry In Building,3819
Doorman,3249
Dishwasher,2626
Hardwood Floors,2538
Fitness Center,2529
Renovated,2251
Common Outdoor Space,2167
High Ceilings,1967
Laundry In Unit,1868
Granite Kitchen,1796
Marble Bath,1766
Garage,1206
Valet,1042
Pre War,1037
Eat In Kitchen,1029
Walk In Closet,1022
Deck,936
Lounge,922
Concierge,909
Storage Facility,817
High Speed Internet,779
Stainless Steel Appliances,757
Outdoor Space,742
Bicycle Room,717
Dining Room,683
Storage,596
Diplomats Ok,560
Receiving Room,551
Microwave,535
Private Outdoor Space,502
New Construction,492
City View,467
Balcony,415
Live In Super,413
Business Center,401
Swimming Pool,391
Open View,376
Wheelchair Access,370
Reduced Fee,367
Convertible,361
Terrace,346
Parking Space,309
One Month Free,298
Nursery,237
Open Kitchen,224
Garden/Patio,216
Brownstone,204
Loft,181
Private Deck,173
Roof Deck,168
By Owner,167
Gym,162
Virtual Doorman,136
River View,135
Children Playroom,133
Laundry Room,125
Furnished,123
Fireplace,118
Bike Storage,113
Original Details,106
Package Acceptance,101
Pool,95
Courtyard,95
Duplex,93
Parking,91
Exposed Brick,76
Live Work,73
On Site Super,73
Park View,63
On Site Laundry,61
Bike Room,59
Pets,58
Prewar,54
Green Building,53
Laundry Services,53
Storage Room,52
Multi Level,51
Luxury Highrise,50
In Unit Laundry,50
Community Wifi,49
Central A/C,49
Outdoor Areas,46
Playroom/Nursery,44
Hardwood,43
Pets   Dogs Ok,40
Pets   Cats Ok,40
Skyline View,39
Short Term Allowed,38
Backyard,38
Verizon Fios Enabled,36
Heat And Hot Water Included,35
Central Air,35
Guarantor Accepted,34
Heat/Hot Water Included,33
Sublet,32
Freight Elevator,32
Children'S Playroom,32
Patio,30
Garden,30
Publicoutdoor,30
Dry Cleaning,29
Childrens Playroom,28
Rooftop Deck,27
Laundry,27
Video Intercom,26
View,24
Washerdryer,22
Wifi,22
24 Hour Concierge,22
Walk In Closet(S),21
Newly Renovated,20
Building Common Outdoor Space,20
Common Roof Deck,19
Recreational Room,19
Maid Service,19
Driveway,18
Floor To Ceiling Windows,18
Wheelchair Ramp,18
Sauna,17
Vacation Rental,17
Ss Appliances,17
Washer Dryer,17
Pied A Terre,16
Washer & Dryer,16
Public Outdoor Space,16
Package Room,15
Pied A Terre Allowed,15
Natural Light In Living Area,15
Basketball Court,14
Flex Bedroom,14
City Views,14
Fios,14
Stone Countertops,14
Hardwood Floor,13
Pre War Building,12
Billiards,12
Smoke Free,12
Common Areas,12
Parking Available,12
Pets Allowed,11
Sprinkler System,11
Game Room,11
Guarantors Accepted,10
Central Ac,10
Built In Microwave,10
Sunny,10
Media Room,10
Shares Ok,10
Ptac Coolingheating Units,10
Stainless Steel Apps,10
New Development,10
Spacious,9
Fitness Facility,9
Wine Cooler,9
Open Views,9
Extra Room,9
Valet Service,9
Basic Cable + Wifi Included,9
Live/Work,9
Ac Units,9
Cold Storage,8
Billiards Room,8
Private Balcony,8
Resident Lounge,8
Club Room,8
Atm In Building,8
Parking Garage,8
Health Club,8
Pet Friendly,8
Washer/Dryer In Unit,8
Rooftop Pool,8
Private Terrace,8
Western Exposure,8
Large Closets,8
"Dogs Allowed
 

Cats Allowed",8
Wd,8
Dw,8
Living Room,8
Community Recreation Facilities,8
"Cats Allowed
 

Dogs Allowed",7
24 Hour Doorman,7
Fitness Room,7
Resident Manager,7
"Dishwasher
 

Hardwood Floors",7
Rooftop,7
Club House,7
Housekeeping And Dry Cleaning Services,7
Yoga Room,7
Kitchen,7
Laundry On Floor,7
Stainless Steel,7
Washer,7
Housekeeping,7
X Brick,7
Roof Access,7
Dining Area,6
Sundeck,6
Personal Assistant Services,6
Resident Service Specialist,6
Leasing Office,6
Entertainment Lounge,6
Roofdeck,6
Party Room,6
Private Roof Deck,6
Additional Storage,6
Views,6
Central Air Conditioning,6
Hrdwd Flrs,6
Intercom System,6
Washer/Dryer,6
Common Courtyard,6
Triplex,6
Natural Light,6
Children Play Room,6
Washer/Dryer In Bldg,6
Lounge Room,5
Private Storage,5
Facility Kitchen,5
Conference Room,5
