address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,unit,url
453 Milford Street,1,3,Brooklyn,"['Exclusive', '', 'Featured', 'Exclusive', 'Cats Allowed', 'Dogs Allowed', 'Dishwasher', 'Microwave', 'Guarantors Accepted']",0.5,New Lots,2200,0,NaN,https://www.renthop.com/listings/453-milford-street/na/14540675
37 King St,1,1,Manhattan,"['Exclusive', 'Elevator', 'Featured', 'Exclusive', 'Elevator', 'Pre-war Building', 'Dishwasher', 'Renovated', 'Intercom', 'Cats Allowed', 'Dogs Allowed']",0.06,Hudson Square,4500,0,Apt 3H,https://www.renthop.com/listings/37-king-st/3h/14388612
600 West 42nd Street,1,1,Manhattan,"['Exclusive', 'By Owner', 'Doorman', 'Elevator', 'Floorplans Available', 'Featured', 'Exclusive', 'Doorman', 'Elevator', 'Fitness Center', 'Heat/hot Water Included', 'Dishwasher', 'Cats Allowed', 'Dogs Allowed', 'By Owner']",0.38,Hell's Kitchen,4300,0,Apt AN41...,https://www.renthop.com/listings/600-west-42nd-street/an41l/14043217
377 E 33rd St,2,2,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Laundry in Unit', 'No Fee', 'Featured', 'Exclusive', 'Sublet', 'Laundry In Unit', 'Parking Space', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed', 'River views']",0.45,Kips Bay,6000,800,Apt 5L,https://www.renthop.com/listings/377-e-33rd-st/5l/9918880
20 E 42nd St,1,2,Manhattan,"['No Fee', 'Exclusive', '', 'No Fee', 'Featured', 'Exclusive']",0.06,Murray Hill,3400,0,Apt 5F,https://www.renthop.com/listings/20-e-42nd-st/5f/14211827
10 W 65th St,1,1,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Exclusive', 'Doorman', 'Elevator', 'Prewar', 'Storage', 'Laundry In Building', 'Package Acceptance', 'Live In Super']",0.13,Lincoln Square,4040,0,Apt 3C,https://www.renthop.com/listings/10-w-65th-st/3c/14497130
25-14 31st Avenue,1,2,Queens,"['Exclusive', 'Elevator', 'Floorplans Available', 'Featured', 'Exclusive', 'Reduced Fee', 'Elevator', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed', '5 Closets']",0.24,Astoria,2383,0,Apt 1C,https://www.renthop.com/listings/25-14-31st-avenue/1c/14417614
15 Cliff Street,1,2,Manhattan,"['Exclusive', 'Doorman', 'Elevator']",0.1,Financial District,4795,0,Apt 10E,https://www.renthop.com/listings/15-cliff-street/10e/14520253
200 East 33rd St,1,1,Manhattan,"['Exclusive', 'Doorman', 'Elevator', 'Floorplans Available', 'Featured', 'Exclusive', 'Reduced Fee', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.21,Rose Hill,3295,0,Apt 10H,https://www.renthop.com/listings/east-33rd-st/10h/14551835
W 23rd St,1,1,Manhattan,"['No Fee', '', 'No Fee', 'Featured', 'Garage', 'Gym', 'Pool', 'Bike Storage', 'Community Wifi', 'Dry Cleaning', 'Laundry In Building', 'Lounge', 'Package Acceptance', 'Public Outdoor Space', 'Roof Deck', 'Verizon Fios Enabled']",0.04,Flatiron District,4600,0,NaN,https://www.renthop.com/listings/w-23rd-st/1050/13957902
155 East 92nd Street,1,3,Manhattan,"['No Fee', 'Exclusive', '', 'No Fee', 'Featured', 'Exclusive', 'Private Outdoor Space', 'Cats Allowed', 'Dogs Allowed']",0.18,Upper East Side,3695,0,Apt 3,https://www.renthop.com/listings/155-east-92nd-street/3/14522534
E 49 St.,1,2,Manhattan,"['Doorman', 'Elevator', 'Hardwood Floors', 'Floorplans Available', 'Featured', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Common Outdoor Space', 'Concierge', 'Diplomats Ok', 'Garage', 'Granite Kitchen', 'Light', 'Marble Bath', 'Open View', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.27,Turtle Bay,4400,842,NaN,https://www.renthop.com/listings/e-49-st/4d/13365122
41 River Terrace,2,3Flex 4 ,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Hardwood Floors', 'No Fee', 'Swimming Pool', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Dishwasher', 'Hardwood Floors', 'Convertible', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed', 'Exclusive', 'Convertible']",0.33,Battery Park City,5700,0,Apt 1515,https://www.renthop.com/listings/41-river-terrace/1515/14339652
