address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,median_income,percent_high_earner,zipcode,Cats_Allowed,Elevator,No_Fee,Dogs_Allowed,Laundry_In_Building,Doorman,Gym,Dishwasher,Hardwood_Floors,Renovated,Common_Outdoor_Space,High_Ceilings,Laundry_In_Unit,Granite_Kitchen,Marble_Bath,Parking,Pre_War,Valet,Eat_In_Kitchen,Walk_In_Closet,Deck,Lounge,Concierge,Storage_Facility,High_Speed_Internet,Studio,Brooklyn,Manhattan,Queens
453 Milford Street,1.0,3,Brooklyn,"['Dogs Allowed', 'Dishwasher', 'Microwave', 'Cats Allowed', 'Guarantors Accepted']",0.5,New Lots,2200,0,63700.0,4.4,11236.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37 King St,1.0,1,Manhattan,"['Elevator', 'Dogs Allowed', 'Dishwasher', 'Cats Allowed', 'Intercom', 'Renovated', 'Pre War']",0.06,Hudson Square,4500,0,106056.0,33.4,10013.0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Hudson St,2.0,2,Manhattan,[],0.18,Hudson Square,9395,0,106056.0,33.4,10013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
600 West 42nd Street,1.0,1,Manhattan,"['Elevator', 'Dogs Allowed', 'Dishwasher', 'Cats Allowed', 'Doorman', 'By Owner', 'Heat/Hot Water Included', 'Gym']",0.38,Hell's Kitchen,4300,0,93707.0,19.8,10036.0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
785 Ninth Avenue 3c,1.0,2,Manhattan,"['Brand New Renovations', 'Dogs Allowed', 'Reduced Fee', 'Cats Allowed', 'Pre War']",0.21,Hell's Kitchen,3199,700,93707.0,19.8,10036.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
785 Ninth Avenue 3c,1.0,2,Manhattan,"['Brand New Renovations', 'Dogs Allowed', 'Reduced Fee', 'Cats Allowed', 'Pre War']",0.21,Hell's Kitchen,3199,700,93707.0,19.8,10036.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
785 Ninth Avenue 3c,1.0,2,Manhattan,"['Brand New Renovations', 'Dogs Allowed', 'Reduced Fee', 'Cats Allowed', 'Pre War']",0.21,Hell's Kitchen,3199,700,93707.0,19.8,10036.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
312 W 58th Street,2.0,4,Manhattan,"['No Fee', 'Laundry In Building', 'Dogs Allowed', 'Cats Allowed', 'Laundry In Unit', 'Private Outdoor Space']",0.08,Hell's Kitchen,7150,1,93707.0,19.8,10036.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
321 W 47th St,2.0,2,Manhattan,"['No Fee', 'Dogs Allowed', 'Dishwasher', 'Exposed Brick', 'Cats Allowed']",0.17,Hell's Kitchen,3500,0,93707.0,19.8,10036.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
524 West 50th Street,1.0,1,Manhattan,"['Laundry In Building', 'Pre War Laundry On Every Floor No Pets Allowed']",0.41,Hell's Kitchen,1999,500,93707.0,19.8,10036.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
