address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,median_income,percent_high_earner,zipcode
453 Milford Street,1.0,3,Brooklyn,"['Guarantors Accepted', 'Cats Allowed', 'Featured', 'Dogs Allowed', 'Dishwasher', 'Exclusive', 'Microwave']",0.5,New Lots,2200,0,63700.0,4.4,11236.0
37 King St,1.0,1,Manhattan,"['Cats Allowed', 'Featured', 'Dogs Allowed', 'Pre-war Building', 'Dishwasher', 'Elevator', 'Renovated', 'Intercom', 'Exclusive']",0.06,Hudson Square,4500,0,106056.0,33.4,10013.0
Hudson St,2.0,2,Manhattan,[],0.18,Hudson Square,9395,0,106056.0,33.4,10013.0
600 West 42nd Street,1.0,1,Manhattan,"['Cats Allowed', 'Featured', 'Fitness Center', 'Dogs Allowed', 'By Owner', 'Doorman', 'Dishwasher', 'Floorplans Available', 'Elevator', 'Heat/hot Water Included', 'Exclusive']",0.38,Hell's Kitchen,4300,0,93707.0,19.8,10036.0
785 Ninth Avenue 3c,1.0,2,Manhattan,"['Pre-War', 'Cats Allowed', 'Featured', 'brand new renovations', 'Reduced Fee', 'Dogs Allowed', 'Exclusive']",0.21,Hell's Kitchen,3199,700,93707.0,19.8,10036.0
785 Ninth Avenue 3c,1.0,2,Manhattan,"['Pre-War', 'Cats Allowed', 'Featured', 'brand new renovations', 'Reduced Fee', 'Dogs Allowed', 'Exclusive']",0.21,Hell's Kitchen,3199,700,93707.0,19.8,10036.0
785 Ninth Avenue 3c,1.0,2,Manhattan,"['Pre-War', 'Cats Allowed', 'Featured', 'brand new renovations', 'Reduced Fee', 'Dogs Allowed', 'Exclusive']",0.21,Hell's Kitchen,3199,700,93707.0,19.8,10036.0
312 W 58th Street,2.0,4,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Featured', 'Private Outdoor Space', 'Dogs Allowed', 'Laundry In Unit', 'No Fee', 'Laundry In Building', 'Exclusive']",0.08,Hell's Kitchen,7150,1,93707.0,19.8,10036.0
321 W 47th St,2.0,2,Manhattan,"['Cats Allowed', 'Featured', 'Exposed Brick', 'Dogs Allowed', 'Dishwasher', 'No Fee', 'Exclusive']",0.17,Hell's Kitchen,3500,0,93707.0,19.8,10036.0
524 West 50th Street,1.0,Studio,Manhattan,"['Featured', 'Pre-war Laundry On Every Floor No Pets Allowed', 'Laundry in Building', 'Laundry In Building', 'Exclusive']",0.41,Hell's Kitchen,1999,500,93707.0,19.8,10036.0
312 W 58th Street,2.0,4,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Featured', 'Private Outdoor Space', 'Dogs Allowed', 'Laundry In Unit', 'No Fee', 'Laundry In Building', 'Exclusive']",0.08,Hell's Kitchen,7150,1,93707.0,19.8,10036.0
885 10th Ave,1.0,1,Manhattan,"['Featured', 'Heat And Hot Water Included', 'Guarantor Accepted', 'Pets', 'Dishwasher', 'No Fee', 'Floorplans Available', 'Elevator', 'Renovated', 'Hardwood Floors', 'Exclusive', 'Microwave']",0.36,Hell's Kitchen,3250,0,93707.0,19.8,10036.0
885 10th Ave,1.0,1,Manhattan,"['Laundry In Building', 'Featured', 'Heat And Hot Water Included', 'Guarantor Accepted', 'Pets', ' Exclusive', 'Dishwasher', 'No Fee', 'Floorplans Available', 'Elevator', 'Renovated', 'Hardwood Floors', 'Exclusive', 'Microwave']",0.36,Hell's Kitchen,3250,0,93707.0,19.8,10036.0
430 W 37 Street,1.0,2,Manhattan,"['New Construction', 'Dining Room', 'Cats Allowed', 'Featured', ' Fitness Center', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Diplomats Ok', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Lounge', 'Balcony', 'Subway', 'Bicycle Room', 'Pre-war', 'No Fee', 'Deck', 'Pre-War', 'Valet', 'Renovated', 'Light', 'Hardwood Floors']",0.28,Hell's Kitchen,3400,0,93707.0,19.8,10036.0
430 W 37 Street,1.0,2,Manhattan,"['New Construction', 'Dining Room', 'Cats Allowed', 'Featured', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Diplomats Ok', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Lounge', 'Balcony', 'Subway', 'Bicycle Room', 'Fitness Center', 'Pre-war', 'No Fee', 'Deck', 'Pre-War', 'Valet', 'Renovated', 'Light', 'Hardwood Floors']",0.28,Hell's Kitchen,3400,0,93707.0,19.8,10036.0
540 West 47th Street,1.0,1,Manhattan,"['Cats Allowed', 'No Fee']",0.47,Hell's Kitchen,2250,0,93707.0,19.8,10036.0
455 W 37th St.,1.5,2,Manhattan,"['Cats Allowed', 'Dishwasher', 'Laundry In Building', 'Diplomats Ok', 'Granite Kitchen', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Bicycle Room', 'Garage', 'Exclusive', 'Fitness Center', 'Open View', 'No Fee', 'Deck', 'Valet', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.27,Hell's Kitchen,4250,0,93707.0,19.8,10036.0
455 W 37th St.,1.0,3,Manhattan,"['Cats Allowed', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Diplomats Ok', 'Granite Kitchen', 'Dogs Allowed', 'Doorman', 'Marble Bath', 'Elevator', 'Bicycle Room', 'Garage', 'Exclusive', 'Fitness Center', 'Open View', 'No Fee', 'Deck', 'Valet', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.27,Hell's Kitchen,4250,0,93707.0,19.8,10036.0
West 42nd Street,1.0,1,Manhattan,"['New Construction', 'Featured', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'Lounge', 'Balcony', 'Subway', 'Bicycle Room', 'River View', 'Garage', 'Swimming Pool', 'Fitness Center', 'Laundry In Unit', 'Open View', 'Concierge', 'No Fee', 'Floorplans Available', 'Deck', 'Laundry in Unit', 'Valet', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.42,Hell's Kitchen,2900,0,93707.0,19.8,10036.0
West 42nd Street,1.0,1,Manhattan,"['New Construction', 'Featured', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'Lounge', 'Balcony', 'Subway', 'Bicycle Room', 'River View', 'Garage', 'Swimming Pool', 'Fitness Center', 'Laundry In Unit', 'Open View', 'Concierge', 'No Fee', 'Floorplans Available', 'Deck', 'Laundry in Unit', 'Valet', 'Renovated', 'Light', 'Hardwood Floors', 'City View']",0.42,Hell's Kitchen,2900,0,93707.0,19.8,10036.0
W 42nd St,1.0,3,Manhattan,"['Verizon Fios Enabled', 'Community Wifi', 'Featured', 'Package Acceptance', 'Garage', 'Pool', 'Roof Deck', 'Gym', ' Bike Storage', 'No Fee', 'Lounge', 'Laundry In Building']",0.41,Hell's Kitchen,5000,0,93707.0,19.8,10036.0
625 West 57th St,1.0,1,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Featured', 'Private Outdoor Space', 'Spacious', 'Fitness Center', 'Furnished', 'Laundry In Unit', 'By Owner', 'Doorman', 'Sublet', 'Dogs Allowed', 'Sun-Drenched', 'Elevator', 'Common Outdoor Space']",0.55,Hell's Kitchen,4395,0,93707.0,19.8,10036.0
625 West 57th St,1.0,1,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Featured', 'Private Outdoor Space', 'Spacious', 'Fitness Center', 'Furnished', 'Laundry In Unit', 'By Owner', 'Doorman', 'Sublet', 'Dogs Allowed', 'Sun-Drenched', 'Elevator', 'Common Outdoor Space']",0.55,Hell's Kitchen,4395,0,93707.0,19.8,10036.0
West 40's,2.0,2,Manhattan,"['Cats Allowed', 'Featured', 'Walk In Closet', 'Outdoor Space', 'Dishwasher', 'Common Outdoor Space', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Storage Facility', 'Elevator', 'Garage', 'Fitness Center', 'Open View', 'No Fee', 'Light', 'Hardwood Floors', 'City View']",0.12,Hell's Kitchen,4600,0,93707.0,19.8,10036.0
West 50's,1.0,1,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Featured', 'Fitness Center', 'Laundry In Unit', 'Doorman', 'Cats Allowed\n \n\nDogs Allowed', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.32,Hell's Kitchen,3400,0,93707.0,19.8,10036.0
,1.0,1,Manhattan,"['Featured', 'No Fee']",0.22,Hell's Kitchen,2595,0,93707.0,19.8,10036.0
West 57th st,1.0,1,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Featured', 'Reduced Fee', 'Fitness Center', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.48,Hell's Kitchen,2995,0,93707.0,19.8,10036.0
,1.0,1,Manhattan,"['Featured', 'No Fee']",0.22,Hell's Kitchen,2595,0,93707.0,19.8,10036.0
